asin,csv_column,csv_value,api_value,verdict
B0FQB34W4B,Buy Box: % トップセラー 180 日,100 %,,CSVあり・API空（期間統計は未マップまたは画面専用）
B0FQB34W4B,Buy Box: % トップセラー 365 日,99 %,,CSVあり・API空（期間統計は未マップまたは画面専用）
B0FQB34W4B,Buy Box: 勝者数 30 日,1,,CSVあり・API空（期間統計は未マップまたは画面専用）
B0FQB34W4B,Buy Box: 勝者数 90 日,1,,CSVあり・API空（期間統計は未マップまたは画面専用）
B0FQB34W4B,Buy Box: 勝者数 180 日,1,,CSVあり・API空（期間統計は未マップまたは画面専用）
B0FQB34W4B,Buy Box: 勝者数 365 日,1,,CSVあり・API空（期間統計は未マップまたは画面専用）
B0FQB34W4B,Buy Box: 標準偏差 30 日,,,両方空
B0FQB34W4B,Buy Box: 標準偏差 90 日,53,,CSVあり・API空（期間統計は未マップまたは画面専用）
B0FQB34W4B,Buy Box: 標準偏差 365 日,54,,CSVあり・API空（期間統計は未マップまたは画面専用）
B0FQB34W4B,Buy Box: 変動性 30 日,8,,CSVあり・API空（期間統計は未マップまたは画面専用）
B0FQB34W4B,Buy Box: 変動性 90 日,16,,CSVあり・API空（期間統計は未マップまたは画面専用）
B0FQB34W4B,Buy Box: 変動性 365 日,22,,CSVあり・API空（期間統計は未マップまたは画面専用）
B08W56WVHD,画像,https://m.media-amazon.com/images/I/61+66jADYPL.jpg;https://m.media-amazon.com/images/I/51MLotb+-gL.jpg;https://m.media-amazon.com/images/I/51NbK7RFNqL.jpg;https://m.media-amazon.com/images/I/51bl+DbE,,不一致
B08W56WVHD,商品名,網元大将 石原水産 食べるおだし かつお50ｇ (1袋) ゆうパケ,網元大将 石原水産 食べるおだし かつお50ｇ (1袋) ゆうパケ,一致
B08W56WVHD,商品ハイライト,,,両方空
B08W56WVHD,売れ筋ランキング: 90 日平均,20857,20850,ほぼ一致（取得時刻差）
B08W56WVHD,売れ筋ランキング: 365 日平均,18474,18472,ほぼ一致（取得時刻差）
B08W56WVHD,売れ筋ランキング: 90日間の下落 %,46 %,-3 %,不一致
B08W56WVHD,売れ筋ランキング: 過去30日間の減少,9,9,一致
B08W56WVHD,売れ筋ランキング: 過去90日間の減少,37,37,一致
B08W56WVHD,売れ筋ランキング: 過去180日間の減少,70,70,一致
B08W56WVHD,売れ筋ランキング: 過去365日間の減少,144,144,一致
B08W56WVHD,月間売上トレンド: 先月の購入,,,両方空
B08W56WVHD,レビュー: 評価,4.3,4.3,一致
B08W56WVHD,レビュー: 評価件数,243,243,一致
B08W56WVHD,Buy Box: 30 日平均,630,630,一致
B08W56WVHD,Buy Box: 90 日平均,618,618,一致
B08W56WVHD,Buy Box: 90日間の下落 %,-2 %,-2 %,一致
B08W56WVHD,Buy Box: Buy Box セラー,World NEXT （無休・即日発送） (92%) / A3L1BD8LA6USKU,26% / A3L1BD8LA6USKU,一致（セラーID）
